ganma;8 knot;12 knot;16 knot;20 knot
0;0;0;0;0
1;0;0;0;0
2;0;0;0;0
3;0;0;0;0
4;0;0;0;0
5;0;0;0.012792039;0.048557492
6;0;0.023047596;0.07107905;0.182036745
7;0.008721664;0.059844197;0.339554696;0.75188314
8;0.02865339;0.273441874;0.736567083;1.41997445
9;0.077042929;0.524607116;1.238239687;2.167671674
10;0.211419532;0.840992633;1.782366949;3.034871936
11;0.347552568;1.172184201;2.380112596;4.009395973
12;0.51817102;1.548777484;3.070327281;5.047518239
13;0.688058987;1.95630813;3.787724719;6.139996016
14;0.88641191;2.399530213;4.539569844;7.291813524
15;1.08812141;2.86207104;5.32776236;8.554396068
16;1.314251873;3.332522103;6.151205967;10.06427212
17;1.551073891;3.833256235;7.189000077;11.63039982
18;1.794681214;4.349928407;8.248131881;13.29707141
19;2.045328189;4.997975544;9.328567104;15.14043784
20;2.299979674;5.652333907;10.57608769;17.06029517
21;2.56663344;6.325443062;11.85530663;19.02340766
22;2.839037457;7.056457404;13.17221085;21.03553022
23;3.180641776;7.838232026;14.53177267;23.17331853
24;3.519188265;8.645391048;15.91545344;25.35540702
25;3.870849695;9.45658532;17.37326106;27.57684383
26;4.220744733;10.30229735;18.86052548;29.81252985
27;4.61157599;11.15289151;20.36482791;32.05832724
28;5.016668673;12.04683023;21.87697153;34.31922581
29;5.428640512;12.94904382;23.38924176;36.66312929
30;5.846858528;13.86815491;24.90582931;39.00597926
31;6.266930468;14.78509028;26.47340277;41.33576826
32;6.697483971;15.69624259;28.04136956;43.63569515
33;7.125606426;16.61371747;29.60675323;45.90492019
34;7.57720506;17.52578151;31.14958807;48.14434752
35;8.022327562;18.4705705;32.67090863;50.35168875
36;8.481248427;19.40600915;34.16742191;52.52402175
37;8.935483782;20.33708251;35.64001993;54.66363107
38;9.387099527;21.25230683;37.08919299;56.76955187
39;9.833297773;22.15147886;38.51039483;58.83594874
40;10.27676621;23.03309646;39.90662445;60.86688788
41;10.71781816;23.8987601;41.27694359;62.86168256
42;11.15682491;24.74507882;42.61759255;64.81526911
43;11.60529868;25.57477236;43.93177319;66.72934181
44;12.04500936;26.38514508;45.2174465;68.60480471
45;12.48177029;27.17724489;46.47237813;70.43860451
46;12.90907786;27.95038483;47.699313;72.22831849
47;13.32532445;28.70344943;48.89528042;73.97718463
48;13.73147978;29.43809354;50.05965482;75.6846568
49;14.12660886;30.15078985;51.1946611;77.34337946
50;14.51091136;30.84481109;52.29644453;78.95914522
51;14.88431703;31.51688629;53.36595491;80.53158976
52;15.24612747;32.16878967;54.40489112;82.05644278
53;15.59726335;32.79958121;55.4086211;83.53340421
54;15.93600548;33.40831518;56.37951903;84.9653737
55;16.26411341;33.99694478;57.31880949;86.35188937
56;16.57954808;34.56157684;58.22124797;87.68517573
57;16.88389515;35.10608205;59.09036556;88.97206637
58;17.17588575;35.62699874;59.92702172;90.21225354
59;17.45605579;36.12625206;60.72558076;91.4022566
60;17.72427886;36.60324367;61.49034965;92.54033536
61;17.97992295;37.05661584;62.2219882;93.6306631
62;18.22411943;37.48921637;62.91474435;94.67303162
63;18.45495669;37.89620385;63.57321142;95.66152322
64;18.67455672;38.28225952;64.19806901;96.5994366
65;18.88075077;38.64429213;64.78377351;97.48871204
66;19.07528686;38.98344779;65.33461307;98.32924493
67;19.25703349;39.3004038;65.85155755;99.11355438
68;19.42639387;39.59247099;66.32964204;99.84838856
69;19.58366809;39.86347188;66.77216451;100.5341796
70;19.72781047;40.10922848;67.1807026;101.1707607
71;19.86065294;40.3330859;67.55128048;101.7507321
72;19.97960448;40.53386765;67.88543747;102.281656
73;20.08732683;40.71071042;68.18571872;102.7636222
74;20.18197833;40.86668825;68.449582;103.1967421
75;20.26470008;40.99686758;68.67596761;103.5740477
76;20.33526821;41.10623621;68.86878473;103.9023312
77;20.39318553;41.19232419;69.02739647;104.1822372
78;20.43994292;41.25552673;69.14724492;104.4139876
79;20.47331992;41.29808908;69.23403018;104.5931029
80;20.49588896;41.31569348;69.28797448;104.7221124
81;20.50577017;41.3132599;69.30469193;104.8038187
82;20.50432879;41.28810716;69.28750987;104.8385542
83;20.49133126;41.24111533;69.23824377;104.8260144
84;20.4663062;41.17437131;69.15563012;104.7611863
85;20.43092379;41.08369034;69.03716632;104.6506167
86;20.382806;40.97397395;68.88756855;104.4947483
87;20.32465692;40.84293372;68.7071815;104.2940462
88;20.25493438;40.69099822;68.49278035;104.0480114
89;20.17454388;40.52078247;68.24633134;103.7530972
90;20.08391553;40.3280142;67.97028589;103.4150292
91;19.98192551;40.11729307;67.6650554;103.0343799
92;19.87064973;39.88751294;67.32667164;102.6117443
93;19.74819884;39.63760315;66.95921189;102.1477405
94;19.61638632;39.37089817;66.56399459;101.6396421
95;19.47486929;39.08451035;66.14149659;101.0898056
96;19.32330158;38.78071838;65.68832989;100.5007873
97;19.16334952;38.46100281;65.20809368;99.87330631
98;18.99305806;38.12169248;64.70222813;99.20810389
99;18.81460719;37.76735305;64.17127351;98.50594293
100;18.6274152;37.39708397;63.61379931;97.76718663
101;18.43137314;37.00968063;63.03020919;96.98957821
102;18.22798989;36.60841792;62.4233916;96.17765666
103;18.01554551;36.19165059;61.79394727;95.33227682
104;17.79600002;35.75996942;61.14248946;94.45431351
105;17.56910618;35.31567808;60.46736124;93.54466131
106;17.33441642;34.85674831;59.77036954;92.60423418
107;17.09355398;34.38485987;59.05346358;91.63396513
108;16.84533887;33.90168451;58.31731254;90.63480581
109;16.59090979;33.40517903;57.56259748;89.60772607
110;16.33093621;32.89738761;56.79001128;88.552238
111;16.06405127;32.37970064;55.99768059;87.47054511
112;15.79226912;31.85042587;55.18903408;86.36419128
113;15.51524234;31.31124634;54.36486142;85.23421356
114;15.23270424;30.76362439;53.52590392;84.08166363
115;14.94605625;30.20657379;52.67291345;82.90760702
116;14.65469048;29.64070706;51.80665218;81.71312241
117;14.35904597;29.06790593;50.92789239;80.49930076
118;14.06010619;28.48822611;50.03723364;79.26724448
119;13.75719315;27.9005332;49.13451713;78.01806642
120;13.45106551;27.30746156;48.22186784;76.75288896
121;13.14248011;26.70949195;47.30009383;75.4728429
122;12.8308708;26.10589226;46.37001095;74.17906635
123;12.51694484;25.49758402;45.43244245;72.87270353
124;12.20141689;24.88598452;44.48821846;71.55490355
125;11.88400289;24.2715884;43.53817543;70.22681906
126;11.56500944;23.6538496;42.58315559;68.88960485
127;11.24528334;23.03378021;41.62400629;67.54395053
128;10.92497771;22.41255937;40.66157928;66.18997254
129;10.60367781;21.79069294;39.69673;64.83016482
130;10.28252328;21.16868917;38.73031673;63.46568415
131;9.961778984;20.54589132;37.76319975;62.09768164
132;9.641409811;19.92410598;36.79624039;60.72730086
133;9.321605577;19.30385852;35.8303;59.35567584
134;9.003095132;18.6856646;34.86623889;57.98392913
135;8.686146334;18.07004175;33.90380361;56.6101963
136;8.37097134;17.45750924;32.94469453;55.23810846
137;8.057462818;16.8483116;31.98992544;53.86909263
138;7.746396314;16.24307002;31.04034793;52.50421322
139;7.438040016;15.64260122;30.09680597;51.14309527
140;7.132662531;15.04742569;29.16008995;49.78553128
141;6.830532712;14.45806448;28.22903056;48.43511224
142;6.531877041;13.87503891;27.306419;47.09280499
143;6.23684267;13.29887029;26.39305959;45.75577568
144;5.945917302;12.73007958;25.48885066;44.42796231
145;5.659365671;12.16918701;24.593823;43.11095656
146;5.377451763;11.61671158;23.71033046;42.24295381
147;5.100438589;11.07317062;22.83761881;41.57430841
148;4.828587931;10.53884417;21.97657603;40.89874523
149;4.562160073;10.01419372;21.12862059;40.21570776
150;4.301413495;9.499961927;20.29255214;39.52934337
151;4.046604544;8.996659535;19.47091611;38.83580261
152;3.797987057;8.504784257;18.7418485;38.14131895
153;3.555651399;8.024019893;18.23489952;37.44119434
154;3.319951866;7.555660271;17.75927375;36.74161108
155;3.091167696;7.099810717;17.28527449;36.04148364
156;2.869541112;6.656715029;16.81452641;35.36185827
157;2.655027743;6.226985927;16.34699548;34.70836322
158;2.448100248;5.810921513;15.88297068;34.08119754
159;2.248798101;5.408614062;15.42379775;33.48055227
160;2.057409322;5.020698528;14.97066613;32.90661039
161;1.87393649;4.647364982;14.53301519;32.35954671
162;1.69867931;4.288825484;14.11700013;31.83952788
163;1.53173203;3.945306021;13.72274766;31.3467123
164;1.373198136;3.631739087;13.35037789;30.88125009
165;1.223184051;3.39996046;13.00000425;30.44328303
166;1.081791507;3.182029179;12.67173345;30.03294453
